pokedex_number,base_total,hp,attack,sp_attack,defense,sp_defense,speed,type1,type2,percentage_male,ability1,ability2,ability3,weight_kg,is_legendary,generation
259,405,70,85,60,70,70,50,water,ground,88.1,Torrent,NA,Damp,28,Non-legendary,3
260,635,100,150,95,110,110,70,water,ground,88.1,Torrent,NA,Damp,81.9,Non-legendary,3
261,220,35,55,30,35,30,35,dark,NA,50,Run Away,Quick Feet,Rattled,13.6,Non-legendary,3
262,420,70,90,60,70,60,70,dark,NA,50,Intimidate,Quick Feet,Moxie,37,Non-legendary,3
263,240,38,30,30,41,41,60,normal,NA,50,Pickup,Gluttony,Quick Feet,17.5,Non-legendary,3
264,420,78,70,50,61,61,100,normal,NA,50,Pickup,Gluttony,Quick Feet,32.5,Non-legendary,3
265,195,45,45,20,35,30,20,bug,NA,50,Shield Dust,NA,Run Away,3.6,Non-legendary,3
266,205,50,35,25,55,25,15,bug,NA,50,Shed Skin,NA,NA,10,Non-legendary,3
267,395,60,70,100,50,50,65,bug,flying,50,Swarm,NA,Rivalry,28.4,Non-legendary,3
268,205,50,35,25,55,25,15,bug,NA,50,Shed Skin,NA,NA,11.5,Non-legendary,3
269,385,60,50,50,70,90,65,bug,poison,50,Shield Dust,NA,Compoundeyes,31.6,Non-legendary,3
270,220,40,30,40,30,50,30,water,grass,50,Swift Swim,Rain Dish,Own Tempo,2.6,Non-legendary,3
271,340,60,50,60,50,70,50,water,grass,50,Swift Swim,Rain Dish,Own Tempo,32.5,Non-legendary,3
272,480,80,70,90,70,100,70,water,grass,50,Swift Swim,Rain Dish,Own Tempo,55,Non-legendary,3
273,220,40,40,30,50,30,30,grass,NA,50,Chlorophyll,Early Bird,Pickpocket,4,Non-legendary,3
274,340,70,70,60,40,40,60,grass,dark,50,Chlorophyll,Early Bird,Pickpocket,28,Non-legendary,3
275,480,90,100,90,60,60,80,grass,dark,50,Chlorophyll,Early Bird,Pickpocket,59.6,Non-legendary,3
276,270,40,55,30,30,30,85,normal,flying,50,Guts,NA,Scrappy,2.3,Non-legendary,3
277,455,60,85,75,60,50,125,normal,flying,50,Guts,NA,Scrappy,19.8,Non-legendary,3
278,270,40,30,55,30,30,85,water,flying,50,Keen Eye,Hydration,Rain Dish,9.5,Non-legendary,3
279,440,60,50,95,100,70,65,water,flying,50,Keen Eye,Drizzle,Rain Dish,28,Non-legendary,3
280,198,28,25,45,25,35,40,psychic,fairy,50,Synchronize,Trace,Telepathy,6.6,Non-legendary,3
281,278,38,35,65,35,55,50,psychic,fairy,50,Synchronize,Trace,Telepathy,20.2,Non-legendary,3
282,618,68,85,165,65,135,100,psychic,fairy,50,Synchronize,Trace,Telepathy,48.4,Non-legendary,3
283,269,40,30,50,32,52,65,bug,water,50,Swift Swim,NA,Rain Dish,1.7,Non-legendary,3
284,454,70,60,100,62,82,80,bug,flying,50,Intimidate,NA,Unnerve,3.6,Non-legendary,3
285,295,60,40,40,60,60,35,grass,NA,50,Effect Spore,Poison Heal,Quick Feet,4.5,Non-legendary,3
286,460,60,130,60,80,60,70,grass,fighting,50,Effect Spore,Poison Heal,Technician,39.2,Non-legendary,3
287,280,60,60,35,60,35,30,normal,NA,50,Truant,NA,NA,24,Non-legendary,3
288,440,80,80,55,80,55,90,normal,NA,50,Vital Spirit,NA,NA,46.5,Non-legendary,3
289,670,150,160,95,100,65,100,normal,NA,50,Truant,NA,NA,130.5,Non-legendary,3
290,266,31,45,30,90,30,40,bug,ground,50,Compoundeyes,NA,Run Away,5.5,Non-legendary,3
291,456,61,90,50,45,50,160,bug,flying,50,Speed Boost,NA,Infiltrator,12,Non-legendary,3
292,236,1,90,30,45,30,40,bug,ghost,NA,Wonder Guard,NA,NA,1.2,Non-legendary,3
293,240,64,51,51,23,23,28,normal,NA,50,Soundproof,NA,Rattled,16.3,Non-legendary,3
294,360,84,71,71,43,43,48,normal,NA,50,Soundproof,NA,Scrappy,40.5,Non-legendary,3
295,490,104,91,91,63,73,68,normal,NA,50,Soundproof,NA,Scrappy,84,Non-legendary,3
296,237,72,60,20,30,30,25,fighting,NA,75.4,Thick Fat,Guts,Sheer Force,86.4,Non-legendary,3
297,474,144,120,40,60,60,50,fighting,NA,75.4,Thick Fat,Guts,Sheer Force,253.8,Non-legendary,3
298,190,50,20,20,40,40,20,normal,fairy,24.6,Thick Fat,Huge Power,Sap Sipper,2,Non-legendary,3
299,375,30,45,45,135,90,30,rock,NA,50,Sturdy,Magnet Pull,Sand Force,97,Non-legendary,3
300,260,50,45,35,45,35,50,normal,NA,24.6,Cute Charm,Normalize,Wonder Skin,11,Non-legendary,3
301,400,70,65,55,65,55,90,normal,NA,24.6,Cute Charm,Normalize,Wonder Skin,32.6,Non-legendary,3
302,480,50,85,85,125,115,20,dark,ghost,50,Keen Eye,Stall,Prankster,11,Non-legendary,3
303,480,50,105,55,125,95,50,steel,fairy,50,Hyper Cutter,Intimidate,Sheer Force,11.5,Non-legendary,3
304,330,50,70,40,100,40,30,steel,rock,50,Sturdy,Rock Head,Heavy Metal,60,Non-legendary,3
305,430,60,90,50,140,50,40,steel,rock,50,Sturdy,Rock Head,Heavy Metal,120,Non-legendary,3
306,630,70,140,60,230,80,50,steel,rock,50,Sturdy,Rock Head,Heavy Metal,360,Non-legendary,3
307,280,30,40,40,55,55,60,fighting,psychic,50,Pure Power,NA,Telepathy,11.2,Non-legendary,3
308,510,60,100,80,85,85,100,fighting,psychic,50,Pure Power,NA,Telepathy,31.5,Non-legendary,3
309,295,40,45,65,40,40,65,electric,NA,50,Static,Lightningrod,Minus,15.2,Non-legendary,3
310,575,70,75,135,80,80,135,electric,NA,50,Static,Lightningrod,Minus,40.2,Non-legendary,3
311,405,60,50,85,40,75,95,electric,NA,50,Plus,NA,Lightningrod,4.2,Non-legendary,3
312,405,60,40,75,50,85,95,electric,NA,50,Minus,NA,Volt Absorb,4.2,Non-legendary,3
313,430,65,73,47,75,85,85,bug,NA,100,Illuminate,Swarm,Prankster,17.7,Non-legendary,3
314,430,65,47,73,75,85,85,bug,NA,0,Oblivious,Tinted Lens,Prankster,17.7,Non-legendary,3
315,400,50,60,100,45,80,65,grass,poison,50,Natural Cure,Poison Point,Leaf Guard,2,Non-legendary,3
316,302,70,43,43,53,53,40,poison,NA,50,Liquid Ooze,Sticky Hold,Gluttony,10.3,Non-legendary,3
317,467,100,73,73,83,83,55,poison,NA,50,Liquid Ooze,Sticky Hold,Gluttony,80,Non-legendary,3
318,305,45,90,65,20,20,65,water,dark,50,Rough Skin,NA,Speed Boost,20.8,Non-legendary,3
319,560,70,140,110,70,65,105,water,dark,50,Rough Skin,NA,Speed Boost,88.8,Non-legendary,3
320,400,130,70,70,35,35,60,water,NA,50,Water Veil,Oblivious,Pressure,130,Non-legendary,3
321,500,170,90,90,45,45,60,water,NA,50,Water Veil,Oblivious,Pressure,398,Non-legendary,3
322,305,60,60,65,40,45,35,fire,ground,50,Oblivious,Simple,Own Tempo,24,Non-legendary,3
323,560,70,120,145,100,105,20,fire,ground,50,Magma Armor,Solid Rock,Anger Point,220,Non-legendary,3
324,470,70,85,85,140,70,20,fire,NA,50,White Smoke,Drought,Shell Armor,80.4,Non-legendary,3
325,330,60,25,70,35,80,60,psychic,NA,50,Thick Fat,Own Tempo,Gluttony,30.6,Non-legendary,3
326,470,80,45,90,65,110,80,psychic,NA,50,Thick Fat,Own Tempo,Gluttony,71.5,Non-legendary,3
327,360,60,60,60,60,60,60,normal,NA,50,Own Tempo,Tangled Feet,Contrary,5,Non-legendary,3
328,290,45,100,45,45,45,10,ground,NA,50,Hyper Cutter,Arena Trap,Sheer Force,15,Non-legendary,3
329,340,50,70,50,50,50,70,ground,dragon,50,Levitate,NA,NA,15.3,Non-legendary,3
330,520,80,100,80,80,80,100,ground,dragon,50,Levitate,NA,NA,82,Non-legendary,3
331,335,50,85,85,40,40,35,grass,NA,50,Sand Veil,NA,Water Absorb,51.3,Non-legendary,3
332,475,70,115,115,60,60,55,grass,dark,50,Sand Veil,NA,Water Absorb,77.4,Non-legendary,3
333,310,45,40,40,60,75,50,normal,flying,50,Natural Cure,NA,Cloud Nine,1.2,Non-legendary,3
334,590,75,110,110,110,105,80,dragon,flying,50,Natural Cure,NA,Cloud Nine,20.6,Non-legendary,3
335,458,73,115,60,60,60,90,normal,NA,50,Immunity,NA,Toxic Boost,40.3,Non-legendary,3
336,458,73,100,100,60,60,65,poison,NA,50,Shed Skin,NA,Infiltrator,52.5,Non-legendary,3
337,460,90,55,95,65,85,70,rock,psychic,NA,Levitate,NA,NA,168,Non-legendary,3
338,460,90,95,55,85,65,70,rock,psychic,NA,Levitate,NA,NA,154,Non-legendary,3
339,288,50,48,46,43,41,60,water,ground,50,Oblivious,Anticipation,Hydration,1.9,Non-legendary,3
340,468,110,78,76,73,71,60,water,ground,50,Oblivious,Anticipation,Hydration,23.6,Non-legendary,3
341,308,43,80,50,65,35,35,water,NA,50,Hyper Cutter,Shell Armor,Adaptability,11.5,Non-legendary,3
342,468,63,120,90,85,55,55,water,dark,50,Hyper Cutter,Shell Armor,Adaptability,32.8,Non-legendary,3
343,300,40,40,40,55,70,55,ground,psychic,NA,Levitate,NA,NA,21.5,Non-legendary,3
344,500,60,70,70,105,120,75,ground,psychic,NA,Levitate,NA,NA,108,Non-legendary,3
345,355,66,41,61,77,87,23,rock,grass,88.1,Suction Cups,NA,Storm Drain,23.8,Non-legendary,3
346,495,86,81,81,97,107,43,rock,grass,88.1,Suction Cups,NA,Storm Drain,60.4,Non-legendary,3
347,355,45,95,40,50,50,75,rock,bug,88.1,Battle Armor,NA,Swift Swim,12.5,Non-legendary,3
348,495,75,125,70,100,80,45,rock,bug,88.1,Battle Armor,NA,Swift Swim,68.2,Non-legendary,3
349,200,20,15,10,20,55,80,water,NA,50,Swift Swim,Oblivious,Adaptability,7.4,Non-legendary,3
350,540,95,60,100,79,125,81,water,NA,50,Marvel Scale,Competitive,Cute Charm,162,Non-legendary,3
351,420,70,70,70,70,70,70,normal,NA,50,Forecast,NA,NA,0.8,Non-legendary,3
352,440,60,90,60,70,120,40,normal,NA,50,Color Change,NA,Protean,22,Non-legendary,3
353,295,44,75,63,35,33,45,ghost,NA,50,Insomnia,Frisk,Cursed Body,2.3,Non-legendary,3
354,555,64,165,93,75,83,75,ghost,NA,50,Insomnia,Frisk,Cursed Body,12.5,Non-legendary,3
355,295,20,40,30,90,90,25,ghost,NA,50,Levitate,NA,Frisk,15,Non-legendary,3
356,455,40,70,60,130,130,25,ghost,NA,50,Pressure,NA,Frisk,30.6,Non-legendary,3
357,460,99,68,72,83,87,51,grass,flying,50,Chlorophyll,Solar Power,Harvest,100,Non-legendary,3
358,455,75,50,95,80,90,65,psychic,NA,50,Levitate,NA,NA,1,Non-legendary,3
359,565,65,150,115,60,60,115,dark,NA,50,Pressure,Super Luck,Justified,47,Non-legendary,3
360,260,95,23,23,48,48,23,psychic,NA,50,Shadow Tag,NA,Telepathy,14,Non-legendary,3
361,300,50,50,50,50,50,50,ice,NA,50,Inner Focus,Ice Body,Moody,16.8,Non-legendary,3
362,580,80,120,120,80,80,100,ice,NA,50,Inner Focus,Ice Body,Moody,256.5,Non-legendary,3
363,290,70,40,55,50,50,25,ice,water,50,Thick Fat,Ice Body,Oblivious,39.5,Non-legendary,3
364,410,90,60,75,70,70,45,ice,water,50,Thick Fat,Ice Body,Oblivious,87.6,Non-legendary,3
365,530,110,80,95,90,90,65,ice,water,50,Thick Fat,Ice Body,Oblivious,150.6,Non-legendary,3
366,345,35,64,74,85,55,32,water,NA,50,Shell Armor,NA,Rattled,52.5,Non-legendary,3
367,485,55,104,94,105,75,52,water,NA,50,Swift Swim,NA,Water Veil,27,Non-legendary,3
368,485,55,84,114,105,75,52,water,NA,50,Swift Swim,NA,Hydration,22.6,Non-legendary,3
369,485,100,90,45,130,65,55,water,rock,88.1,Swift Swim,Rock Head,Sturdy,23.4,Non-legendary,3
370,330,43,30,40,55,65,97,water,NA,24.6,Swift Swim,NA,Hydration,8.7,Non-legendary,3
371,300,45,75,40,60,30,50,dragon,NA,50,Rock Head,NA,Sheer Force,42.1,Non-legendary,3
372,420,65,95,60,100,50,50,dragon,NA,50,Rock Head,NA,Overcoat,110.5,Non-legendary,3
373,700,95,145,120,130,90,120,dragon,flying,50,Intimidate,NA,Moxie,102.6,Non-legendary,3
374,300,40,55,35,80,60,30,steel,psychic,NA,Clear Body,NA,Light Metal,95.2,Non-legendary,3
375,420,60,75,55,100,80,50,steel,psychic,NA,Clear Body,NA,Light Metal,202.5,Non-legendary,3
376,700,80,145,105,150,110,110,steel,psychic,NA,Clear Body,NA,Light Metal,550,Non-legendary,3
377,580,80,100,50,200,100,50,rock,NA,NA,Clear Body,NA,Sturdy,230,Legendary,3
378,580,80,50,100,100,200,50,ice,NA,NA,Clear Body,NA,Ice Body,175,Legendary,3
379,580,80,75,75,150,150,50,steel,NA,NA,Clear Body,NA,Light Metal,205,Legendary,3
380,700,80,100,140,120,150,110,dragon,psychic,0,Levitate,NA,NA,40,Legendary,3
381,700,80,130,160,100,120,110,dragon,psychic,100,Levitate,NA,NA,60,Legendary,3
382,770,100,150,180,90,160,90,water,NA,NA,Drizzle,NA,NA,352,Legendary,3
383,770,100,180,150,160,90,90,ground,NA,NA,Drought,NA,NA,950,Legendary,3
384,780,105,180,180,100,100,115,dragon,flying,NA,Air Lock,NA,NA,206.5,Legendary,3
385,600,100,100,100,100,100,100,steel,psychic,NA,Serene Grace,NA,NA,1.1,Legendary,3
386,600,50,95,95,90,90,180,psychic,NA,NA,Pressure,NA,NA,60.8,Legendary,3
387,318,55,68,45,64,55,31,grass,NA,88.1,Overgrow,NA,Shell Armor,10.2,Non-legendary,4
388,405,75,89,55,85,65,36,grass,NA,88.1,Overgrow,NA,Shell Armor,97,Non-legendary,4
389,525,95,109,75,105,85,56,grass,ground,88.1,Overgrow,NA,Shell Armor,310,Non-legendary,4
390,309,44,58,58,44,44,61,fire,NA,88.1,Blaze,NA,Iron Fist,6.2,Non-legendary,4
391,405,64,78,78,52,52,81,fire,fighting,88.1,Blaze,NA,Iron Fist,22,Non-legendary,4
392,534,76,104,104,71,71,108,fire,fighting,88.1,Blaze,NA,Iron Fist,55,Non-legendary,4
393,314,53,51,61,53,56,40,water,NA,88.1,Torrent,NA,Defiant,5.2,Non-legendary,4
394,405,64,66,81,68,76,50,water,NA,88.1,Torrent,NA,Defiant,23,Non-legendary,4
395,530,84,86,111,88,101,60,water,steel,88.1,Torrent,NA,Defiant,84.5,Non-legendary,4
396,245,40,55,30,30,30,60,normal,flying,50,Keen Eye,NA,Reckless,2,Non-legendary,4
397,340,55,75,40,50,40,80,normal,flying,50,Intimidate,NA,Reckless,15.5,Non-legendary,4
398,485,85,120,50,70,60,100,normal,flying,50,Intimidate,NA,Reckless,24.9,Non-legendary,4
399,250,59,45,35,40,40,31,normal,NA,50,Simple,Unaware,Moody,20,Non-legendary,4
400,410,79,85,55,60,60,71,normal,water,50,Simple,Unaware,Moody,31.5,Non-legendary,4
401,194,37,25,25,41,41,25,bug,NA,50,Shed Skin,NA,Run Away,2.2,Non-legendary,4
402,384,77,85,55,51,51,65,bug,NA,50,Swarm,NA,Technician,25.5,Non-legendary,4
403,263,45,65,40,34,34,45,electric,NA,50,Rivalry,Intimidate,Guts,9.5,Non-legendary,4
404,363,60,85,60,49,49,60,electric,NA,50,Rivalry,Intimidate,Guts,30.5,Non-legendary,4
405,523,80,120,95,79,79,70,electric,NA,50,Rivalry,Intimidate,Guts,42,Non-legendary,4
406,280,40,30,50,35,70,55,grass,poison,50,Natural Cure,Poison Point,Leaf Guard,1.2,Non-legendary,4
407,515,60,70,125,65,105,90,grass,poison,50,Natural Cure,Poison Point,Technician,14.5,Non-legendary,4
408,350,67,125,30,40,30,58,rock,NA,88.1,Mold Breaker,NA,Sheer Force,31.5,Non-legendary,4
409,495,97,165,65,60,50,58,rock,NA,88.1,Mold Breaker,NA,Sheer Force,102.5,Non-legendary,4
410,350,30,42,42,118,88,30,rock,steel,88.1,Sturdy,NA,Soundproof,57,Non-legendary,4
411,495,60,52,47,168,138,30,rock,steel,88.1,Sturdy,NA,Soundproof,149.5,Non-legendary,4
412,224,40,29,29,45,45,36,bug,NA,50,Shed Skin,NA,Overcoat,3.4,Non-legendary,4
413,424,60,69,69,95,95,36,bug,grass,0,Anticipation,NA,Overcoat,6.5,Non-legendary,4
414,424,70,94,94,50,50,66,bug,flying,100,Swarm,NA,Tinted Lens,23.3,Non-legendary,4
415,244,30,30,30,42,42,70,bug,flying,88.1,Honey Gather,NA,Hustle,5.5,Non-legendary,4
416,474,70,80,80,102,102,40,bug,flying,0,Pressure,NA,Unnerve,38.5,Non-legendary,4
417,405,60,45,45,70,90,95,electric,NA,50,Run Away,Pickup,Volt Absorb,3.9,Non-legendary,4
418,330,55,65,60,35,30,85,water,NA,50,Swift Swim,NA,Water Veil,29.5,Non-legendary,4
419,495,85,105,85,55,50,115,water,NA,50,Swift Swim,NA,Water Veil,33.5,Non-legendary,4
420,275,45,35,62,45,53,35,grass,NA,50,Chlorophyll,NA,NA,3.3,Non-legendary,4
421,450,70,60,87,70,78,85,grass,NA,50,Flower Gift,NA,NA,9.3,Non-legendary,4
422,325,76,48,57,48,62,34,water,NA,50,Sticky Hold,Storm Drain,Sand Force,6.3,Non-legendary,4
423,475,111,83,92,68,82,39,water,ground,50,Sticky Hold,Storm Drain,Sand Force,29.9,Non-legendary,4
424,482,75,100,60,66,66,115,normal,NA,50,Technician,Pickup,Skill Link,20.3,Non-legendary,4
425,348,90,50,60,34,44,70,ghost,flying,50,Aftermath,Unburden,Flare Boost,1.2,Non-legendary,4
426,498,150,80,90,44,54,80,ghost,flying,50,Aftermath,Unburden,Flare Boost,15,Non-legendary,4
427,350,55,66,44,44,56,85,normal,NA,50,Run Away,Klutz,Limber,5.5,Non-legendary,4
428,580,65,136,54,94,96,135,normal,NA,50,Cute Charm,Klutz,Limber,33.3,Non-legendary,4
429,495,60,60,105,60,105,105,ghost,NA,50,Levitate,NA,NA,4.4,Non-legendary,4
430,505,100,125,105,52,52,71,dark,flying,50,Insomnia,Super Luck,Moxie,27.3,Non-legendary,4
431,310,49,55,42,42,37,85,normal,NA,24.6,Limber,Own Tempo,Keen Eye,3.9,Non-legendary,4
432,452,71,82,64,64,59,112,normal,NA,24.6,Thick Fat,Own Tempo,Defiant,43.8,Non-legendary,4
433,285,45,30,65,50,50,45,psychic,NA,50,Levitate,NA,NA,0.6,Non-legendary,4
434,329,63,63,41,47,41,74,poison,dark,50,Stench,Aftermath,Keen Eye,19.2,Non-legendary,4
435,479,103,93,71,67,61,84,poison,dark,50,Stench,Aftermath,Keen Eye,38,Non-legendary,4
436,300,57,24,24,86,86,23,steel,psychic,NA,Levitate,Heatproof,Heavy Metal,60.5,Non-legendary,4
437,500,67,89,79,116,116,33,steel,psychic,NA,Levitate,Heatproof,Heavy Metal,187,Non-legendary,4
438,290,50,80,10,95,45,10,rock,NA,50,Sturdy,Rock Head,Rattled,15,Non-legendary,4
439,310,20,25,70,45,90,60,psychic,fairy,50,Soundproof,Filter,Technician,13,Non-legendary,4
440,220,100,5,15,5,65,30,normal,NA,0,Natural Cure,Serene Grace,Friend Guard,24.4,Non-legendary,4
441,411,76,65,92,45,42,91,normal,flying,50,Keen Eye,Tangled Feet,Big Pecks,1.9,Non-legendary,4
442,485,50,92,92,108,108,35,ghost,dark,50,Pressure,NA,Infiltrator,108,Non-legendary,4
443,300,58,70,40,45,45,42,dragon,ground,50,Sand Veil,NA,Rough Skin,20.5,Non-legendary,4
444,410,68,90,50,65,55,82,dragon,ground,50,Sand Veil,NA,Rough Skin,56,Non-legendary,4
445,700,108,170,120,115,95,92,dragon,ground,50,Sand Veil,NA,Rough Skin,95,Non-legendary,4
446,390,135,85,40,40,85,5,normal,NA,88.1,Pickup,Thick Fat,Gluttony,105,Non-legendary,4
447,285,40,70,35,40,40,60,fighting,NA,88.1,Steadfast,Inner Focus,Prankster,20.2,Non-legendary,4
448,625,70,145,140,88,70,112,fighting,steel,88.1,Steadfast,Inner Focus,Justified,54,Non-legendary,4
449,330,68,72,38,78,42,32,ground,NA,50,Sand Stream,NA,Sand Force,49.5,Non-legendary,4
450,525,108,112,68,118,72,47,ground,NA,50,Sand Stream,NA,Sand Force,300,Non-legendary,4
451,330,40,50,30,90,55,65,poison,bug,50,Battle Armor,Sniper,Keen Eye,12,Non-legendary,4
452,500,70,90,60,110,75,95,poison,dark,50,Battle Armor,Sniper,Keen Eye,61.5,Non-legendary,4
453,300,48,61,61,40,40,50,poison,fighting,50,Anticipation,Dry Skin,Poison Touch,23,Non-legendary,4
454,490,83,106,86,65,65,85,poison,fighting,50,Anticipation,Dry Skin,Poison Touch,44.4,Non-legendary,4
455,454,74,100,90,72,72,46,grass,NA,50,Levitate,NA,NA,27,Non-legendary,4
456,330,49,49,49,56,61,66,water,NA,50,Swift Swim,Storm Drain,Water Veil,7,Non-legendary,4
457,460,69,69,69,76,86,91,water,NA,50,Swift Swim,Storm Drain,Water Veil,24,Non-legendary,4
458,345,45,20,60,50,120,50,water,flying,50,Swift Swim,Water Absorb,Water Veil,65,Non-legendary,4
459,334,60,62,62,50,60,40,grass,ice,50,Snow Warning,NA,Soundproof,50.5,Non-legendary,4
460,594,90,132,132,105,105,30,grass,ice,50,Snow Warning,NA,Soundproof,135.5,Non-legendary,4
461,510,70,120,45,65,85,125,dark,ice,50,Pressure,NA,Pickpocket,34,Non-legendary,4
462,535,70,70,130,115,90,60,electric,steel,NA,Magnet Pull,Sturdy,Analytic,180,Non-legendary,4
463,515,110,85,80,95,95,50,normal,NA,50,Own Tempo,Oblivious,Cloud Nine,140,Non-legendary,4
464,535,115,140,55,130,55,40,ground,rock,50,Lightningrod,Solid Rock,Reckless,282.8,Non-legendary,4
465,535,100,100,110,125,50,50,grass,NA,50,Chlorophyll,Leaf Guard,Regenerator,128.6,Non-legendary,4
466,540,75,123,95,67,85,95,electric,NA,75.4,Motor Drive,NA,Vital Spirit,138.6,Non-legendary,4
467,540,75,95,125,67,95,83,fire,NA,75.4,Flame Body,NA,Vital Spirit,68,Non-legendary,4
468,545,85,50,120,95,115,80,fairy,flying,88.1,Hustle,Serene Grace,Super Luck,38,Non-legendary,4
469,515,86,76,116,86,56,95,bug,flying,50,Speed Boost,Tinted Lens,Frisk,51.5,Non-legendary,4
470,525,65,110,60,130,65,95,grass,NA,88.1,Leaf Guard,NA,Chlorophyll,25.5,Non-legendary,4
471,525,65,60,130,110,95,65,ice,NA,88.1,Snow Cloak,NA,Ice Body,25.9,Non-legendary,4
472,510,75,95,45,125,75,95,ground,flying,50,Hyper Cutter,Sand Veil,Poison Heal,42.5,Non-legendary,4
473,530,110,130,70,80,60,80,ice,ground,50,Oblivious,Snow Cloak,Thick Fat,291,Non-legendary,4
474,535,85,80,135,70,75,90,normal,NA,NA,Adaptability,Download,Analytic,34,Non-legendary,4
475,618,68,165,65,95,115,110,psychic,fighting,100,Steadfast,NA,Justified,52,Non-legendary,4
476,525,60,55,75,145,150,40,rock,steel,50,Sturdy,Magnet Pull,Sand Force,340,Non-legendary,4
477,525,45,100,65,135,135,45,ghost,NA,50,Pressure,NA,Frisk,106.6,Non-legendary,4
478,480,70,80,80,70,70,110,ice,ghost,0,Snow Cloak,NA,Cursed Body,26.6,Non-legendary,4
479,520,50,65,105,107,107,86,electric,ghost,NA,Levitate,NA,NA,0.3,Non-legendary,4
480,580,75,75,75,130,130,95,psychic,NA,NA,Levitate,NA,NA,0.3,Legendary,4
481,580,80,105,105,105,105,80,psychic,NA,NA,Levitate,NA,NA,0.3,Legendary,4
482,580,75,125,125,70,70,115,psychic,NA,NA,Levitate,NA,NA,0.3,Legendary,4
483,680,100,120,150,120,100,90,steel,dragon,NA,Pressure,NA,Telepathy,683,Legendary,4
484,680,90,120,150,100,120,100,water,dragon,NA,Pressure,NA,Telepathy,336,Legendary,4
485,600,91,90,130,106,106,77,fire,steel,50,Flash Fire,NA,Flame Body,430,Legendary,4
486,670,110,160,80,110,110,100,normal,NA,NA,Slow Start,NA,NA,420,Legendary,4
487,680,150,120,120,100,100,90,ghost,dragon,NA,Pressure,Telepathy,Levitate,750,Legendary,4
488,600,120,70,75,120,130,85,psychic,NA,0,Levitate,NA,NA,85.6,Legendary,4
489,480,80,80,80,80,80,80,water,NA,NA,Hydration,NA,NA,3.1,Non-legendary,4
490,600,100,100,100,100,100,100,water,NA,NA,Hydration,NA,NA,1.4,Legendary,4
491,600,70,90,135,90,90,125,dark,NA,NA,Bad Dreams,NA,NA,50.5,Legendary,4
492,600,100,103,120,75,75,127,grass,NA,NA,Natural Cure,NA,Serene Grace,2.1,Legendary,4
493,720,120,120,120,120,120,120,normal,NA,NA,Multitype,NA,NA,320,Legendary,4
494,600,100,100,100,100,100,100,psychic,fire,NA,Victory Star,NA,NA,4,Legendary,5
495,308,45,45,45,55,55,63,grass,NA,88.1,Overgrow,NA,Contrary,8.1,Non-legendary,5
496,413,60,60,60,75,75,83,grass,NA,88.1,Overgrow,NA,Contrary,16,Non-legendary,5
497,528,75,75,75,95,95,113,grass,NA,88.1,Overgrow,NA,Contrary,63,Non-legendary,5
498,308,65,63,45,45,45,45,fire,NA,88.1,Blaze,NA,Thick Fat,9.9,Non-legendary,5
499,418,90,93,70,55,55,55,fire,fighting,88.1,Blaze,NA,Thick Fat,55.5,Non-legendary,5
500,528,110,123,100,65,65,65,fire,fighting,88.1,Blaze,NA,Reckless,150,Non-legendary,5
501,308,55,55,63,45,45,45,water,NA,88.1,Torrent,NA,Shell Armor,5.9,Non-legendary,5
502,413,75,75,83,60,60,60,water,NA,88.1,Torrent,NA,Shell Armor,24.5,Non-legendary,5
503,528,95,100,108,85,70,70,water,NA,88.1,Torrent,NA,Shell Armor,94.6,Non-legendary,5
504,255,45,55,35,39,39,42,normal,NA,50,Run Away,Keen Eye,Analytic,11.6,Non-legendary,5
505,420,60,85,60,69,69,77,normal,NA,50,Illuminate,Keen Eye,Analytic,27,Non-legendary,5
506,275,45,60,25,45,45,55,normal,NA,50,Vital Spirit,Pickup,Run Away,4.1,Non-legendary,5
507,370,65,80,35,65,65,60,normal,NA,50,Intimidate,Sand Rush,Scrappy,14.7,Non-legendary,5
508,500,85,110,45,90,90,80,normal,NA,50,Intimidate,Sand Rush,Scrappy,61,Non-legendary,5
509,281,41,50,50,37,37,66,dark,NA,50,Limber,Unburden,Prankster,10.1,Non-legendary,5
510,446,64,88,88,50,50,106,dark,NA,50,Limber,Unburden,Prankster,37.5,Non-legendary,5
511,316,50,53,53,48,48,64,grass,NA,88.1,Gluttony,NA,Overgrow,10.5,Non-legendary,5
512,498,75,98,98,63,63,101,grass,NA,88.1,Gluttony,NA,Overgrow,30.5,Non-legendary,5
513,316,50,53,53,48,48,64,fire,NA,88.1,Gluttony,NA,Blaze,11,Non-legendary,5
514,498,75,98,98,63,63,101,fire,NA,88.1,Gluttony,NA,Blaze,28,Non-legendary,5
515,316,50,53,53,48,48,64,water,NA,88.1,Gluttony,NA,Torrent,13.5,Non-legendary,5
516,498,75,98,98,63,63,101,water,NA,88.1,Gluttony,NA,Torrent,29,Non-legendary,5
517,292,76,25,67,45,55,24,psychic,NA,50,Forewarn,Synchronize,Telepathy,23.3,Non-legendary,5
518,487,116,55,107,85,95,29,psychic,NA,50,Forewarn,Synchronize,Telepathy,60.5,Non-legendary,5
519,264,50,55,36,50,30,43,normal,flying,50,Big Pecks,Super Luck,Rivalry,2.1,Non-legendary,5
520,358,62,77,50,62,42,65,normal,flying,50,Big Pecks,Super Luck,Rivalry,15,Non-legendary,5
